depth_threshold,avg_query_time(microseconds),avg_depth,splay_count
0,4.790607,18.222010,100000
1,4.701346,18.222010,100000
2,4.538912,18.222010,100000
3,4.635438,18.226330,100000
4,4.575838,18.229370,99999
5,4.641509,18.236260,99997
6,4.587589,18.229350,99991
7,5.144788,18.234410,99935
8,4.710323,18.224680,99813
9,4.598956,18.209840,99449
10,4.658602,18.179640,98806
11,4.620252,18.132110,97406
12,4.634839,18.042010,94916
13,4.586257,17.914690,91139
14,4.588791,17.751680,85631
15,4.525924,17.518320,77440
16,4.584463,17.247280,66903
17,4.555225,16.916850,53394
18,4.502831,16.555820,37752
19,4.532455,16.114140,20819
20,4.506240,15.715150,7917
21,4.384244,15.434780,1710
22,4.533323,15.322130,373
23,4.465339,15.554580,137
24,4.502990,15.542890,28
25,4.470680,15.725020,13
26,4.427473,16.223390,1
27,4.433504,16.781220,4
28,4.493129,16.314830,3
29,4.468611,16.444120,2
30,4.416750,16.657030,0
31,4.452679,16.632590,0
32,4.417021,16.683110,1
33,4.469185,16.679610,1
34,4.484358,17.006320,0
35,4.348111,17.305640,0
36,4.405719,17.095050,1
37,5.147264,17.640330,0
38,5.366159,17.640330,0
39,4.622844,17.640330,0
40,4.738892,17.640330,0
41,4.705468,17.640330,0
42,4.748145,17.640330,0
43,4.531133,17.640330,0
44,4.694033,17.640330,0
45,4.579581,17.640330,0
46,4.694984,17.640330,0
47,4.723112,17.640330,0
48,4.620113,17.640330,0
49,4.690321,17.640330,0
50,4.686511,17.640330,0
51,4.684672,17.640330,0
52,5.064158,17.640330,0
53,4.603241,17.640330,0
54,4.682009,17.640330,0
55,4.659809,17.640330,0
56,4.467739,17.640330,0
57,4.649603,17.640330,0
58,4.721380,17.640330,0
59,4.559750,17.640330,0
60,4.541961,17.640330,0
61,4.460480,17.640330,0
62,4.481015,17.640330,0
63,4.535150,17.640330,0
64,4.551955,17.640330,0
65,4.569935,17.640330,0
66,4.773996,17.640330,0
67,4.503627,17.640330,0
68,4.944851,17.640330,0
69,4.842405,17.640330,0
70,4.544696,17.640330,0
71,4.482073,17.640330,0
72,4.498211,17.640330,0
73,5.189968,17.640330,0
74,6.002775,17.640330,0
75,4.719506,17.640330,0
76,4.506330,17.640330,0
77,4.529306,17.640330,0
78,4.468222,17.640330,0
79,4.548104,17.640330,0
80,4.427912,17.640330,0
81,4.457488,17.640330,0
82,4.513704,17.640330,0
83,4.447013,17.640330,0
84,4.479488,17.640330,0
85,4.455554,17.640330,0
86,4.484890,17.640330,0
87,4.403253,17.640330,0
88,4.555676,17.640330,0
89,4.468382,17.640330,0
90,4.627608,17.640330,0
91,4.475788,17.640330,0
92,4.496248,17.640330,0
93,4.473319,17.640330,0
94,4.421134,17.640330,0
95,4.532638,17.640330,0
96,4.427585,17.640330,0
97,4.400227,17.640330,0
98,4.499045,17.640330,0
99,4.478372,17.640330,0
100,4.458425,17.640330,0
101,4.466620,17.640330,0
102,4.546004,17.640330,0
103,4.563538,17.640330,0
104,4.662029,17.640330,0
105,4.481413,17.640330,0
106,4.535098,17.640330,0
107,4.485906,17.640330,0
108,4.484163,17.640330,0
109,4.473776,17.640330,0
110,4.494306,17.640330,0
111,4.434441,17.640330,0
112,4.566041,17.640330,0
113,4.451375,17.640330,0
114,4.474580,17.640330,0
115,4.547314,17.640330,0
116,4.420169,17.640330,0
117,4.466775,17.640330,0
118,4.426881,17.640330,0
119,4.488956,17.640330,0
