depth_threshold,avg_query_time(microseconds),avg_depth,splay_count
0,4.128733,4.173060,100000
1,4.063900,4.173060,100000
2,4.051529,4.173060,98967
3,4.153292,4.136500,88838
4,4.038455,4.003620,62983
5,4.031124,3.598860,0
6,4.058089,3.899760,0
7,4.036643,3.899840,1
8,4.088729,4.589830,0
9,4.013804,4.589830,0
10,3.996713,4.589830,0
11,4.074068,4.589830,0
12,4.033565,4.589830,0
13,4.028862,4.589830,0
14,4.015143,4.589830,0
15,4.018718,4.589830,0
16,4.117711,4.589830,0
17,4.079219,4.589830,0
18,3.969652,4.589830,0
19,4.038292,4.589830,0
20,4.025391,4.589830,0
21,4.164951,4.589830,0
22,4.092953,4.589830,0
23,4.097970,4.589830,0
24,4.068995,4.589830,0
25,4.160174,4.589830,0
26,4.065530,4.589830,0
27,4.035547,4.589830,0
28,4.103779,4.589830,0
29,4.009437,4.589830,0
30,3.996791,4.589830,0
31,4.007441,4.589830,0
32,4.045461,4.589830,0
33,3.991368,4.589830,0
34,4.042078,4.589830,0
35,3.997997,4.589830,0
36,4.045992,4.589830,0
37,4.072538,4.589830,0
38,3.981235,4.589830,0
39,4.096312,4.589830,0
40,4.062444,4.589830,0
41,4.040332,4.589830,0
42,4.028872,4.589830,0
43,3.947006,4.589830,0
44,3.948178,4.589830,0
45,4.056553,4.589830,0
46,4.064348,4.589830,0
47,3.980491,4.589830,0
48,4.020828,4.589830,0
49,3.953133,4.589830,0
50,3.961300,4.589830,0
51,3.972225,4.589830,0
52,3.947873,4.589830,0
53,3.856379,4.589830,0
54,3.915606,4.589830,0
55,3.978915,4.589830,0
56,3.980196,4.589830,0
57,4.049240,4.589830,0
58,4.038872,4.589830,0
59,4.047863,4.589830,0
60,3.991508,4.589830,0
61,4.102313,4.589830,0
62,4.705102,4.589830,0
63,4.700432,4.589830,0
64,4.332196,4.589830,0
65,4.219534,4.589830,0
66,4.501942,4.589830,0
67,4.131038,4.589830,0
68,4.485601,4.589830,0
69,4.319349,4.589830,0
70,4.315322,4.589830,0
71,4.895846,4.589830,0
72,4.531922,4.589830,0
73,4.838212,4.589830,0
74,4.269061,4.589830,0
75,4.334284,4.589830,0
76,4.274525,4.589830,0
77,4.334238,4.589830,0
78,4.153645,4.589830,0
79,4.371869,4.589830,0
80,4.154932,4.589830,0
81,4.287472,4.589830,0
82,4.148661,4.589830,0
83,4.187194,4.589830,0
84,4.134441,4.589830,0
85,4.176066,4.589830,0
86,4.127546,4.589830,0
87,4.136479,4.589830,0
88,4.176095,4.589830,0
89,4.157679,4.589830,0
90,4.096943,4.589830,0
91,4.131090,4.589830,0
92,4.140324,4.589830,0
93,4.172202,4.589830,0
94,4.125832,4.589830,0
95,4.182583,4.589830,0
96,4.206185,4.589830,0
97,4.179342,4.589830,0
98,4.129333,4.589830,0
99,4.086325,4.589830,0
100,4.107047,4.589830,0
101,4.167284,4.589830,0
102,4.161590,4.589830,0
103,4.179548,4.589830,0
104,4.139100,4.589830,0
105,4.126591,4.589830,0
106,4.260416,4.589830,0
107,4.107324,4.589830,0
108,4.162636,4.589830,0
109,4.174072,4.589830,0
110,4.096924,4.589830,0
111,4.209233,4.589830,0
112,4.226449,4.589830,0
113,4.119642,4.589830,0
114,4.079215,4.589830,0
115,4.108005,4.589830,0
116,4.169054,4.589830,0
117,4.185155,4.589830,0
118,4.225463,4.589830,0
119,4.222491,4.589830,0
