depth_threshold,avg_query_time(microseconds),avg_depth,splay_count
0,4.376866,5.226010,100000
1,4.286490,5.226010,100000
2,4.345515,5.226580,100000
3,4.331337,5.339330,72109
4,4.391699,5.252300,54704
5,4.335809,5.484390,43495
6,4.319777,5.545360,29542
7,4.350334,6.008750,22143
8,4.388472,6.312410,14813
9,4.334908,6.962840,11188
10,4.329147,7.366520,7095
11,4.349234,8.104300,5460
12,4.406781,8.556980,3437
13,4.405091,9.316400,2632
14,4.372366,9.778880,1667
15,4.417628,10.554680,1262
16,4.369540,11.054420,762
17,4.417905,11.903150,562
18,4.393496,12.358230,329
19,4.376694,13.076330,283
20,4.383586,13.425430,173
21,4.410802,14.104140,148
22,4.390154,14.606790,92
23,4.423579,15.173110,66
24,4.373148,15.565980,29
25,4.441877,16.167640,14
26,4.424332,16.245550,5
27,4.448841,16.283130,5
28,4.404411,16.287280,3
29,4.396088,16.463780,2
30,4.471659,16.619000,0
31,4.463514,16.663340,1
32,4.447191,16.647990,1
33,4.367432,16.993100,0
34,4.445732,17.293700,0
35,4.428559,17.139560,1
36,4.432519,17.456610,1
37,4.422966,17.609900,0
38,4.410682,17.609900,0
39,4.387327,17.609900,0
40,4.431516,17.609900,0
41,4.475008,17.609900,0
42,4.469684,17.609900,0
43,4.493624,17.609900,0
44,4.485399,17.609900,0
45,4.447320,17.609900,0
46,4.415587,17.609900,0
47,4.415033,17.609900,0
48,4.430017,17.609900,0
49,4.381380,17.609900,0
50,4.427042,17.609900,0
51,4.441277,17.609900,0
52,5.026825,17.609900,0
53,4.560425,17.609900,0
54,4.561229,17.609900,0
55,4.424013,17.609900,0
56,4.394262,17.609900,0
57,4.404472,17.609900,0
58,4.675480,17.609900,0
59,5.278086,17.609900,0
60,4.760804,17.609900,0
61,4.727536,17.609900,0
62,4.499247,17.609900,0
63,4.481770,17.609900,0
64,4.675934,17.609900,0
65,4.380839,17.609900,0
66,4.320766,17.609900,0
67,4.327922,17.609900,0
68,4.375210,17.609900,0
69,4.345066,17.609900,0
70,4.324087,17.609900,0
71,4.450623,17.609900,0
72,4.412629,17.609900,0
73,4.400244,17.609900,0
74,4.339158,17.609900,0
75,4.293307,17.609900,0
76,4.446765,17.609900,0
77,5.484906,17.609900,0
78,4.350661,17.609900,0
79,4.325303,17.609900,0
80,4.301761,17.609900,0
81,4.311830,17.609900,0
82,4.421636,17.609900,0
83,4.339190,17.609900,0
84,4.319792,17.609900,0
85,4.327331,17.609900,0
86,4.346418,17.609900,0
87,4.294057,17.609900,0
88,4.329962,17.609900,0
89,4.340073,17.609900,0
90,4.348313,17.609900,0
91,4.330541,17.609900,0
92,4.298675,17.609900,0
93,4.347796,17.609900,0
94,4.371614,17.609900,0
95,4.377474,17.609900,0
96,4.372932,17.609900,0
97,4.396631,17.609900,0
98,4.367654,17.609900,0
99,4.371353,17.609900,0
100,4.351191,17.609900,0
101,4.336018,17.609900,0
102,4.281718,17.609900,0
103,4.304222,17.609900,0
104,4.325947,17.609900,0
105,4.342507,17.609900,0
106,4.317457,17.609900,0
107,4.345475,17.609900,0
108,4.350081,17.609900,0
109,4.296853,17.609900,0
110,4.314051,17.609900,0
111,4.195054,17.609900,0
112,4.333100,17.609900,0
113,4.322109,17.609900,0
114,4.236987,17.609900,0
115,4.349966,17.609900,0
116,4.353457,17.609900,0
117,4.332712,17.609900,0
118,4.184942,17.609900,0
119,4.236309,17.609900,0
120,4.192587,17.609900,0
121,4.247274,17.609900,0
122,4.345011,17.609900,0
123,4.351962,17.609900,0
124,4.325101,17.609900,0
125,4.281365,17.609900,0
126,4.332232,17.609900,0
127,4.307316,17.609900,0
128,4.405873,17.609900,0
129,4.422375,17.609900,0
130,4.325625,17.609900,0
131,4.308041,17.609900,0
132,4.385509,17.609900,0
133,4.399988,17.609900,0
134,4.353424,17.609900,0
135,4.482918,17.609900,0
136,4.408418,17.609900,0
137,4.324718,17.609900,0
138,4.342442,17.609900,0
139,4.348949,17.609900,0
140,4.349993,17.609900,0
141,4.315767,17.609900,0
142,4.356144,17.609900,0
143,4.306254,17.609900,0
144,4.327784,17.609900,0
145,4.405405,17.609900,0
146,4.397867,17.609900,0
147,4.373340,17.609900,0
148,4.339733,17.609900,0
149,4.300428,17.609900,0
150,4.315619,17.609900,0
151,4.347253,17.609900,0
152,4.292114,17.609900,0
153,4.286235,17.609900,0
154,4.295088,17.609900,0
155,4.296826,17.609900,0
156,4.307897,17.609900,0
157,4.399002,17.609900,0
158,4.285082,17.609900,0
159,4.317730,17.609900,0
160,4.392567,17.609900,0
161,4.352993,17.609900,0
162,4.305777,17.609900,0
163,4.585651,17.609900,0
164,4.361835,17.609900,0
165,4.331259,17.609900,0
166,4.278037,17.609900,0
167,4.351917,17.609900,0
168,4.367391,17.609900,0
169,4.339330,17.609900,0
170,4.357724,17.609900,0
171,4.261370,17.609900,0
172,4.395017,17.609900,0
173,4.311038,17.609900,0
174,4.290709,17.609900,0
175,4.345859,17.609900,0
176,4.468720,17.609900,0
177,4.322582,17.609900,0
178,4.331281,17.609900,0
179,4.277084,17.609900,0
180,6.225125,17.609900,0
181,4.301846,17.609900,0
182,4.358683,17.609900,0
183,4.311358,17.609900,0
184,4.308757,17.609900,0
185,4.276499,17.609900,0
186,4.322988,17.609900,0
187,4.311625,17.609900,0
188,4.272188,17.609900,0
189,4.389120,17.609900,0
190,4.350626,17.609900,0
191,4.349714,17.609900,0
192,4.334515,17.609900,0
193,4.285954,17.609900,0
194,4.279391,17.609900,0
195,4.303079,17.609900,0
196,4.354026,17.609900,0
197,4.314478,17.609900,0
198,4.350297,17.609900,0
199,4.361066,17.609900,0
200,4.343647,17.609900,0
201,4.334774,17.609900,0
202,4.300318,17.609900,0
203,4.358851,17.609900,0
204,4.303286,17.609900,0
205,4.362944,17.609900,0
206,4.370222,17.609900,0
207,4.289957,17.609900,0
208,4.294910,17.609900,0
209,4.334682,17.609900,0
210,4.350122,17.609900,0
211,4.343210,17.609900,0
212,4.321364,17.609900,0
213,4.358883,17.609900,0
214,4.335860,17.609900,0
215,4.355683,17.609900,0
216,4.315836,17.609900,0
217,4.377311,17.609900,0
218,4.369797,17.609900,0
219,4.361801,17.609900,0
220,4.359694,17.609900,0
221,4.339662,17.609900,0
222,4.319624,17.609900,0
223,4.280164,17.609900,0
224,4.299989,17.609900,0
225,4.388365,17.609900,0
226,4.237635,17.609900,0
227,4.310521,17.609900,0
228,4.283681,17.609900,0
229,4.280706,17.609900,0
230,4.336155,17.609900,0
231,4.312563,17.609900,0
232,4.315114,17.609900,0
233,4.426100,17.609900,0
234,4.359147,17.609900,0
235,4.396158,17.609900,0
236,4.305004,17.609900,0
237,4.345077,17.609900,0
238,4.340985,17.609900,0
239,4.361741,17.609900,0
240,4.395630,17.609900,0
241,4.359144,17.609900,0
242,4.379923,17.609900,0
243,4.357489,17.609900,0
244,4.330050,17.609900,0
245,4.374997,17.609900,0
246,4.403825,17.609900,0
247,4.404211,17.609900,0
248,4.374088,17.609900,0
249,4.312780,17.609900,0
250,4.267623,17.609900,0
251,4.351259,17.609900,0
252,4.341171,17.609900,0
253,4.286040,17.609900,0
254,4.342149,17.609900,0
255,4.310186,17.609900,0
256,4.355317,17.609900,0
257,4.242989,17.609900,0
258,4.312346,17.609900,0
259,4.338532,17.609900,0
260,4.275006,17.609900,0
261,4.384072,17.609900,0
262,4.267801,17.609900,0
263,4.281511,17.609900,0
264,4.426051,17.609900,0
265,4.394585,17.609900,0
266,4.353246,17.609900,0
267,4.336138,17.609900,0
268,4.276760,17.609900,0
269,4.236893,17.609900,0
270,4.341035,17.609900,0
271,4.348514,17.609900,0
272,4.274996,17.609900,0
273,4.296608,17.609900,0
274,4.254764,17.609900,0
275,4.261068,17.609900,0
276,4.271381,17.609900,0
277,4.332057,17.609900,0
278,4.255261,17.609900,0
279,4.248450,17.609900,0
280,4.312598,17.609900,0
281,4.289046,17.609900,0
282,4.306534,17.609900,0
283,4.378817,17.609900,0
284,4.332869,17.609900,0
285,4.361645,17.609900,0
286,4.360433,17.609900,0
287,4.299223,17.609900,0
288,4.335633,17.609900,0
289,4.310159,17.609900,0
290,4.287837,17.609900,0
291,4.244175,17.609900,0
292,4.451940,17.609900,0
293,4.343483,17.609900,0
294,4.301653,17.609900,0
295,4.309501,17.609900,0
296,4.338717,17.609900,0
297,4.275412,17.609900,0
298,4.276068,17.609900,0
299,4.309675,17.609900,0
