depth_threshold,avg_query_time(microseconds),avg_depth,splay_count
0,5.494959,23.073890,100000
1,5.619329,23.073890,100000
2,5.351957,23.073890,100000
3,5.465877,23.072940,100000
4,5.422964,23.069860,100000
5,5.428484,23.059310,100000
6,5.394583,23.074420,100000
7,5.524287,23.070480,99999
8,5.435321,23.061810,99991
9,5.496543,23.068550,99979
10,5.439000,23.064110,99924
11,5.390415,23.051340,99814
12,5.314374,23.037150,99555
13,5.339941,23.016690,99101
14,5.314216,22.972620,98198
15,5.324406,22.901860,96747
16,5.477048,22.802170,94439
17,5.415740,22.667150,91085
18,5.390407,22.478210,86009
19,5.386599,22.225730,79071
20,5.363233,21.949300,70396
21,5.443380,21.611100,59326
22,5.187210,21.220010,46075
23,5.206182,20.792130,31630
24,5.197624,20.352500,17915
25,5.175814,20.020300,8201
26,5.154847,19.790430,3121
27,5.172909,19.733960,1288
28,5.156423,19.811360,605
29,5.120815,19.947320,354
30,5.161301,20.073150,145
31,5.147238,20.110270,80
32,5.226502,20.318840,42
33,5.309173,20.506440,18
34,5.174115,20.542270,9
35,5.150700,20.574120,2
36,5.258434,20.688990,4
37,5.166178,21.401410,6
38,5.259395,21.516730,0
39,5.163691,21.516730,0
40,5.160189,21.516730,0
41,5.198234,21.516730,0
42,5.231842,21.516730,0
43,5.320352,21.516730,0
44,5.198428,21.516730,0
45,5.242290,21.516730,0
46,5.184193,21.516730,0
47,5.547309,21.516730,0
48,5.250368,21.516730,0
49,5.221708,21.516730,0
50,5.240642,21.516730,0
51,5.364624,21.516730,0
52,5.193955,21.516730,0
53,5.176843,21.516730,0
54,5.189980,21.516730,0
55,5.232018,21.516730,0
56,5.284493,21.516730,0
57,5.178576,21.516730,0
58,5.215068,21.516730,0
59,5.264182,21.516730,0
60,5.204927,21.516730,0
61,5.182700,21.516730,0
62,5.184408,21.516730,0
63,5.229629,21.516730,0
64,5.378681,21.516730,0
65,5.182809,21.516730,0
66,5.198765,21.516730,0
67,5.211920,21.516730,0
68,5.242876,21.516730,0
69,5.120934,21.516730,0
70,5.142027,21.516730,0
71,5.125151,21.516730,0
72,5.114357,21.516730,0
73,5.167890,21.516730,0
74,5.153652,21.516730,0
75,5.115289,21.516730,0
76,5.171685,21.516730,0
77,5.187588,21.516730,0
78,5.148367,21.516730,0
79,5.146508,21.516730,0
80,5.082605,21.516730,0
81,5.116150,21.516730,0
82,5.160815,21.516730,0
83,5.194526,21.516730,0
84,5.138521,21.516730,0
85,5.112129,21.516730,0
86,5.202290,21.516730,0
87,5.290592,21.516730,0
88,5.094810,21.516730,0
89,5.213121,21.516730,0
90,5.186623,21.516730,0
91,5.160010,21.516730,0
92,5.106580,21.516730,0
93,5.203608,21.516730,0
94,5.164558,21.516730,0
95,5.275797,21.516730,0
96,5.178899,21.516730,0
97,5.145231,21.516730,0
98,5.162317,21.516730,0
99,5.132107,21.516730,0
100,5.148882,21.516730,0
101,5.110911,21.516730,0
102,5.125298,21.516730,0
103,5.154500,21.516730,0
104,5.233566,21.516730,0
105,5.244226,21.516730,0
106,5.216777,21.516730,0
107,5.136103,21.516730,0
108,5.130898,21.516730,0
109,5.448731,21.516730,0
110,5.264194,21.516730,0
111,5.185088,21.516730,0
112,5.131900,21.516730,0
113,5.206351,21.516730,0
114,5.139558,21.516730,0
115,5.144518,21.516730,0
116,5.169672,21.516730,0
117,5.093826,21.516730,0
118,5.154562,21.516730,0
119,5.136978,21.516730,0
