depth_threshold,avg_query_time(microseconds),avg_depth,splay_count
0,4.357135,8.638380,100000
1,4.206178,8.638380,100000
2,4.322733,8.638380,99990
3,4.214859,8.644370,99780
4,4.224590,8.627800,98744
5,4.169195,8.582660,95600
6,4.183695,8.484300,88874
7,4.179882,8.334850,77218
8,4.190391,8.099870,58860
9,4.234519,7.830350,34700
10,4.304026,7.118810,88
11,4.198362,7.408110,15
12,4.214199,7.419420,5
13,4.200230,8.237070,0
14,4.126132,8.237070,0
15,4.074376,8.237070,0
16,4.186888,8.237070,0
17,4.252980,8.237070,0
18,4.178795,8.237070,0
19,4.214416,8.237070,0
20,4.228324,8.237070,0
21,4.132790,8.237070,0
22,4.122875,8.237070,0
23,4.166221,8.237070,0
24,4.162065,8.237070,0
25,4.185581,8.237070,0
26,4.117938,8.237070,0
27,4.103813,8.237070,0
28,4.133678,8.237070,0
29,4.149798,8.237070,0
30,4.132911,8.237070,0
31,4.094287,8.237070,0
32,4.124520,8.237070,0
33,4.190392,8.237070,0
34,4.117739,8.237070,0
35,4.096819,8.237070,0
36,4.063231,8.237070,0
37,4.140690,8.237070,0
38,4.121643,8.237070,0
39,4.110999,8.237070,0
40,4.092228,8.237070,0
41,4.079609,8.237070,0
42,4.084182,8.237070,0
43,4.079690,8.237070,0
44,4.121924,8.237070,0
45,4.144533,8.237070,0
46,4.139342,8.237070,0
47,4.167096,8.237070,0
48,4.104260,8.237070,0
49,4.091345,8.237070,0
50,4.094651,8.237070,0
51,4.082381,8.237070,0
52,4.116565,8.237070,0
53,4.095056,8.237070,0
54,4.173887,8.237070,0
55,4.250535,8.237070,0
56,4.139650,8.237070,0
57,4.176554,8.237070,0
58,4.133972,8.237070,0
59,4.117037,8.237070,0
60,4.105178,8.237070,0
61,4.105659,8.237070,0
62,4.126793,8.237070,0
63,4.204103,8.237070,0
64,4.202125,8.237070,0
65,4.125000,8.237070,0
66,4.313700,8.237070,0
67,4.155571,8.237070,0
68,4.176695,8.237070,0
69,4.130050,8.237070,0
70,4.126169,8.237070,0
71,4.088912,8.237070,0
72,4.064913,8.237070,0
73,4.065214,8.237070,0
74,4.090472,8.237070,0
75,4.210121,8.237070,0
76,4.127441,8.237070,0
77,4.097637,8.237070,0
78,4.089065,8.237070,0
79,4.243724,8.237070,0
80,4.116757,8.237070,0
81,4.144489,8.237070,0
82,4.140434,8.237070,0
83,4.125890,8.237070,0
84,4.105465,8.237070,0
85,4.202854,8.237070,0
86,4.104090,8.237070,0
87,4.108673,8.237070,0
88,4.141189,8.237070,0
89,4.218320,8.237070,0
90,4.149321,8.237070,0
91,4.155096,8.237070,0
92,4.157815,8.237070,0
93,4.120971,8.237070,0
94,4.225195,8.237070,0
95,4.127926,8.237070,0
96,4.096893,8.237070,0
97,4.137017,8.237070,0
98,4.094394,8.237070,0
99,4.092347,8.237070,0
100,4.089925,8.237070,0
101,4.166028,8.237070,0
102,4.080168,8.237070,0
103,4.088780,8.237070,0
104,4.072378,8.237070,0
105,4.188256,8.237070,0
106,4.140939,8.237070,0
107,4.114836,8.237070,0
108,4.150834,8.237070,0
109,4.202815,8.237070,0
110,4.339358,8.237070,0
111,4.256757,8.237070,0
112,4.231577,8.237070,0
113,4.139788,8.237070,0
114,4.166592,8.237070,0
115,4.183774,8.237070,0
116,4.127625,8.237070,0
117,4.123269,8.237070,0
118,4.110207,8.237070,0
119,4.161401,8.237070,0
