depth_threshold,avg_query_time(microseconds),avg_depth,splay_count
0,4.313493,13.417850,100000
1,4.416917,13.417850,100000
2,4.323425,13.417850,100000
3,4.335485,13.418330,99998
4,4.268961,13.412300,99966
5,4.334166,13.415690,99842
6,4.368478,13.398800,99475
7,4.374433,13.377210,98458
8,4.341354,13.321220,96340
9,4.304041,13.222390,92480
10,4.284341,13.070890,85926
11,4.339306,12.862310,76301
12,4.285022,12.594250,62609
13,4.245604,12.291220,45607
14,4.225661,11.934080,25697
15,4.256974,11.569950,8277
16,4.283380,11.160690,97
17,4.225149,11.190670,10
18,4.277004,11.626650,4
19,4.160085,11.931780,2
20,4.148766,12.242780,0
21,4.155166,12.244930,1
22,4.189749,12.804540,0
23,4.198541,12.804540,0
24,4.263622,12.804540,0
25,4.311951,12.804540,0
26,4.203702,12.804540,0
27,4.261386,12.804540,0
28,4.219964,12.804540,0
29,4.238664,12.804540,0
30,4.254769,12.804540,0
31,4.290907,12.804540,0
32,4.300308,12.804540,0
33,4.303798,12.804540,0
34,4.189150,12.804540,0
35,4.261263,12.804540,0
36,4.235523,12.804540,0
37,4.199070,12.804540,0
38,4.235091,12.804540,0
39,4.186939,12.804540,0
40,4.249524,12.804540,0
41,4.201626,12.804540,0
42,4.692301,12.804540,0
43,4.229157,12.804540,0
44,4.181269,12.804540,0
45,4.221977,12.804540,0
46,4.126686,12.804540,0
47,4.215553,12.804540,0
48,4.361538,12.804540,0
49,4.286212,12.804540,0
50,4.228450,12.804540,0
51,4.233954,12.804540,0
52,4.254997,12.804540,0
53,4.140771,12.804540,0
54,4.162344,12.804540,0
55,4.247758,12.804540,0
56,4.179407,12.804540,0
57,4.232791,12.804540,0
58,4.203298,12.804540,0
59,4.147144,12.804540,0
60,4.169864,12.804540,0
61,4.163538,12.804540,0
62,4.175046,12.804540,0
63,4.127331,12.804540,0
64,4.202192,12.804540,0
65,4.252223,12.804540,0
66,4.202314,12.804540,0
67,4.215797,12.804540,0
68,4.194865,12.804540,0
69,4.177693,12.804540,0
70,4.388581,12.804540,0
71,4.221021,12.804540,0
72,4.212693,12.804540,0
73,4.231214,12.804540,0
74,4.232064,12.804540,0
75,4.190401,12.804540,0
76,4.123265,12.804540,0
77,4.207911,12.804540,0
78,4.225374,12.804540,0
79,4.198868,12.804540,0
80,4.227090,12.804540,0
81,4.203902,12.804540,0
82,4.229114,12.804540,0
83,4.124352,12.804540,0
84,4.228171,12.804540,0
85,4.269756,12.804540,0
86,4.232937,12.804540,0
87,4.499045,12.804540,0
88,4.425027,12.804540,0
89,4.234656,12.804540,0
90,4.215565,12.804540,0
91,4.287614,12.804540,0
92,4.207808,12.804540,0
93,4.257297,12.804540,0
94,4.165813,12.804540,0
95,4.231721,12.804540,0
96,4.208360,12.804540,0
97,4.174005,12.804540,0
98,4.161383,12.804540,0
99,4.211790,12.804540,0
100,4.203868,12.804540,0
101,4.229168,12.804540,0
102,4.201958,12.804540,0
103,4.211503,12.804540,0
104,4.228205,12.804540,0
105,4.250899,12.804540,0
106,4.225379,12.804540,0
107,4.229311,12.804540,0
108,4.235228,12.804540,0
109,4.523588,12.804540,0
110,4.175095,12.804540,0
111,4.165187,12.804540,0
112,4.221165,12.804540,0
113,4.203466,12.804540,0
114,4.199925,12.804540,0
115,4.276218,12.804540,0
116,4.228581,12.804540,0
117,4.221618,12.804540,0
118,4.205497,12.804540,0
119,4.270246,12.804540,0
